comparison,var_grass,var_grain,IQR_grass,IQR_grain,higher_variance_group,BF_statistic,p_value,p_adjusted_BH,significant_BH_0.05
S2F3_MUFA_loin,47.619028042380414,1.2031305378026171,9.922667518644833,0.7660644304089477,Grass,44.29478119818717,1.0068085909817863e-09,3.070766202494448e-08,True
S3F3_MUFA_loin,118.85845263769338,3.003048149515033,15.676648193632142,1.210291743284814,Grass,44.29478119818717,1.0068085909817863e-09,3.070766202494448e-08,True
S2F2_MUFA_rib,55.146763964452575,3.025707145367523,10.678203488140529,1.2148491892009163,Grass,36.93956852514157,1.6251834592824247e-08,6.19601193851431e-08,True
S1F2_MUFA,0.7504335163797232,0.0411736227006361,1.2456449954033064,0.1417158620716079,Grass,36.93956852514157,1.6251834592824247e-08,6.19601193851431e-08,True
S2F3_SFA_rib,182.85591672886477,9.824917507030271,19.444316652083543,2.1891392063601955,Grass,37.17022775079395,1.4861505565957705e-08,6.19601193851431e-08,True
S2F3_MUFA_rib,212.37873841774973,9.478798503541585,20.955290923629853,2.1502332258833565,Grass,39.13520638292847,6.978761286823707e-09,6.19601193851431e-08,True
S2F3_SFA_loin,43.50891605328174,2.0073943678267403,9.48478100994284,0.989521587804706,Grass,38.7943038646834,7.950665656003556e-09,6.19601193851431e-08,True
S2F2_MUFA_loin,17.01378750119242,0.9334861143494404,5.9311468695275895,0.6747810128810241,Grass,36.93956852514157,1.625183459282431e-08,6.19601193851431e-08,True
S3F3_SFA_rib,187.006598204157,10.047935191238832,19.66376345752689,2.213845634161304,Grass,37.17022775079392,1.4861505565957922e-08,6.19601193851431e-08,True
S3F3_SFA_loin,108.59949584510365,5.010513616135959,14.984838986807436,1.5633277828638974,Grass,38.794303864683386,7.950665656003614e-09,6.19601193851431e-08,True
S3F3_MUFA_rib,217.199564076914,9.693959566199544,21.191790448535198,2.1745005642949486,Grass,39.13520638292847,6.978761286823707e-09,6.19601193851431e-08,True
S3F3_n6_loin,11679.453942319176,614.6950030881717,155.3994385591433,17.31564861357917,Grass,37.39642949907463,1.3615589025969118e-08,6.19601193851431e-08,True
S3F2_MUFA_stew,5.296299167875452,0.2905891313327927,3.3092107815588587,0.3764858048768817,Grass,36.93956852514157,1.6251834592824247e-08,6.19601193851431e-08,True
S3F2_MUFA_loin,42.46689903243077,2.3300079752069,9.37051480195572,1.066074674657976,Grass,36.93956852514158,1.625183459282419e-08,6.19601193851431e-08,True
S3F2_MUFA_rib,56.39855092166092,3.0943882513585232,10.798716730404324,1.2285598676698886,Grass,36.93956852514155,1.6251834592824422e-08,6.19601193851431e-08,True
S2F3_n6_loin,4679.214918726039,246.2692214140776,98.36139347904776,10.9600867443094,Grass,37.39642949907461,1.3615589025969222e-08,6.19601193851431e-08,True
S3F1_rib,12.759899863717637,0.8232397091722446,5.1364351500265695,0.633683031634702,Grass,35.090790212240144,3.346352505179393e-08,9.278522855270205e-08,True
S3F1_loin,9.607930883350186,0.6198818416002632,4.457107525294582,0.5498742467206852,Grass,35.09079021224015,3.346352505179393e-08,9.278522855270205e-08,True
S3F1_stew,1.1982621171287289,0.0773091456322577,1.5740339339940634,0.1941888812095864,Grass,35.09079021224014,3.3463525051794045e-08,9.278522855270205e-08,True
S1F1_totalFA,0.1697819601195665,0.0109539457961547,0.5924939878115194,0.0730961017622884,Grass,35.09079021224012,3.3463525051794184e-08,9.278522855270205e-08,True
S2F1_rib,12.47668910805704,0.8049675955495165,5.079112741349568,0.6266111546129784,Grass,35.09079021224013,3.3463525051794184e-08,9.278522855270205e-08,True
S2F1_loin,3.849287282563972,0.248347257961562,2.8211640346890468,0.3480475711313699,Grass,35.09079021224013,3.3463525051794184e-08,9.278522855270205e-08,True
S2F3_PUFA_loin,2420.5783620295183,164.267595083046,70.7453255763962,8.951274434544459,Grass,34.491438848135466,4.238145994387974e-08,1.0771954402402769e-07,True
S3F3_PUFA_loin,6041.832654439222,410.0166041337373,111.76929775397689,14.141961315476152,Grass,34.49143884813547,4.238145994387974e-08,1.0771954402402769e-07,True
S2F2_SFA_loin,16.35651657332735,1.2044397844888293,5.815453469922742,0.7664811327436181,Grass,33.50081546899279,6.277226213666686e-08,1.276369330112226e-07,True
S3F2_SFA_stew,5.091694316188165,0.3749355296636447,3.24466106566925,0.4276487640810442,Grass,33.500815468992805,6.277226213666662e-08,1.276369330112226e-07,True
S2F2_SFA_rib,53.01635268964787,3.9039488708758383,10.469913642956897,1.3799424774501858,Grass,33.5008154689928,6.277226213666686e-08,1.276369330112226e-07,True
S1F2_SFA,0.7214430206669151,0.0531246780105982,1.221347349873843,0.1609744975256686,Grass,33.500815468992826,6.277226213666617e-08,1.276369330112226e-07,True
